2024-09-02 00:25:53.739 | INFO     | agentscope.models:read_model_configs:186 - Load configs for model wrapper: gpt-4
2024-09-02 00:25:53.761 | WARNING  | agentscope.models.openai_model:__init__:61 - model_name is not set, use config_name instead.
2024-09-02 00:25:53.762 | INFO     | agentscope.models.model:__init__:201 - Initialize model by configuration [gpt-4]
2024-09-02 00:25:53.867 | INFO     | agentscope.utils.monitor:register_budget:609 - set budget None to gpt-4
2024-09-02 00:25:53.870 | INFO     | agentscope.utils.monitor:register:417 - Register metric [gpt-4.cost] to SqliteMonitor with unit [dollor] and quota [None]
2024-09-02 00:25:53.882 | INFO     | agentscope.utils.monitor:register:417 - Register metric [gpt-4.prompt_tokens] to SqliteMonitor with unit [token] and quota [None]
2024-09-02 00:25:53.906 | INFO     | agentscope.utils.monitor:register:417 - Register metric [gpt-4.completion_tokens] to SqliteMonitor with unit [token] and quota [None]
2024-09-02 00:25:53.930 | INFO     | agentscope.utils.monitor:register:417 - Register metric [gpt-4.call_counter] to SqliteMonitor with unit [times] and quota [None]
2024-09-02 00:25:53.943 | INFO     | agentscope.utils.monitor:register:417 - Register metric [gpt-4.total_tokens] to SqliteMonitor with unit [token] and quota [None]
2024-09-02 00:25:59.729 | WARNING  | agentscope.message:__init__:150 - A new field `role` is newly added to the message. Please specify the role of the message. Currently we use a default "assistant" value.
